$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
   1872    1718 Ssl  15-18:33:16 /home/straughter/.npm/_npx/75a33253e6ddbadb/node_modules/kittylitter/node_modules/.bin_real/kittylitter serve
   1875    1718 Ssl  15-18:33:16 node /home/straughter/.npm-global/bin/paperclipai run
   1876    1718 Ssl  15-18:33:16 /usr/bin/pipewire
   1878    1718 Ssl  15-18:33:16 /usr/bin/pipewire -c filter-chain.conf
   1883    1718 Ssl  15-18:33:16 /usr/bin/wireplumber
   1884    1718 Ssl  15-18:33:16 /usr/bin/pipewire-pulse
   1915    1718 Ss   15-18:33:16 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1981       1 SNsl 15-18:33:16 /usr/libexec/rtkit-daemon
   1989    1777 S<sl 15-18:33:16 /usr/bin/pipewire
   1990    1777 Ssl  15-18:33:16 /usr/bin/pipewire -c filter-chain.conf
   1991    1777 SLsl 15-18:33:16 /usr/bin/fluidsynth -is /usr/share/sounds/sf3/default-GM.sf3
   1995    1758 Ssl+ 15-18:33:16 /usr/libexec/gdm-x-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   1996    1777 S<sl 15-18:33:16 /usr/bin/wireplumber
   1998    1777 S<sl 15-18:33:16 /usr/bin/pipewire-pulse
   2001    1995 Sl+  15-18:33:16 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/120/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   2012    1777 Ss   15-18:33:16 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2186    1777 Ssl  15-18:33:16 /usr/libexec/xdg-document-portal
   2187    1718 Ssl  15-18:33:16 /usr/libexec/xdg-document-portal
   2237    1777 Ssl  15-18:33:16 /usr/libexec/xdg-permission-store
   2238    1718 Ssl  15-18:33:16 /usr/libexec/xdg-permission-store
   2250    2187 Ss   15-18:33:16 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2252    2186 Ss   15-18:33:16 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/120/doc
   2351       2 S<   15-18:33:16 [krfcommd]
   2458    1875 S    15-18:33:15 /home/straughter/.npm-global/lib/node_modules/paperclipai/node_modules/@embedded-postgres/linux-x64/native/bin/postgres -D /home/straughter/.paperclip/instances/default/db -p 54329
   2459    2458 Ss   15-18:33:15 postgres: io worker 2
   2460    2458 Ss   15-18:33:15 postgres: io worker 0
   2461    2458 Ss   15-18:33:15 postgres: io worker 1
   2462    2458 Ss   15-18:33:15 postgres: checkpointer 
   2463    2458 Ss   15-18:33:15 postgres: background writer 
   2467       2 S    15-18:33:15 [nvidia-drm/timeline-6]
   2469    2458 Ss   15-18:33:15 postgres: walwriter 
   2470    2458 Ss   15-18:33:15 postgres: autovacuum launcher 
   2471    2458 Ss   15-18:33:15 postgres: logical replication launcher 
   2484    1995 S+   15-18:33:15 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   2485    2484 S+   15-18:33:15 dbus-daemon --nofork --print-address 4 --session
   2486    2484 Sl+  15-18:33:15 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
   2493       1 Sl+  15-18:33:15 /usr/libexec/at-spi-bus-launcher
   2499    2493 S+   15-18:33:15 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/120/at-spi/bus_0
   2510    2486 Sl+  15-18:33:14 /usr/bin/gnome-shell
   2529       2 S    15-18:33:14 [nvidia-drm/timeline-8]
   2531    2510 Sl+  15-18:33:14 /usr/libexec/mutter-x11-frames
   2534       1 Sl+  15-18:33:14 /usr/libexec/at-spi2-registryd --use-gnome-session
   2535       1 Ssl  15-18:33:14 /usr/libexec/colord
   2573       1 Sl+  15-18:33:14 /usr/libexec/xdg-permission-store
   2581       1 Sl+  15-18:33:14 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2595    2486 Sl+  15-18:33:14 /usr/libexec/gsd-sharing
   2596    2486 Sl+  15-18:33:14 /usr/libexec/gsd-wacom
   2598    2486 Sl+  15-18:33:14 /usr/libexec/gsd-color
